id_estacion,autoridad_ambiental,estacion,latitud,longitud,variable,unidades,tiempo_exposicion,anio,promedio,suma,n_datos,representatividad,excedencias,porcentaje_excedencias,mediana,percentil_98,maximo,fecha_maximo,minimo,fecha_minimo,dias_excedencias,cod_departamento,departamento,cod_municipio,municipio,tipo_estacion,ubicacion
9049,CORPOCESAR,ZM11 MINGUILLO,9.940778,-73.500592,PM10,ugm3,24,2011,17.5,1138.19,65,53.0,0,0.0,17.9,32.6,37.5,7/04/2011,3.0,3/12/2011,0,20,CESAR,20621.0,LA PAZ,Fija,POINT (-73.500592 9.940778)
9044,CORPOCESAR,BOQUERÓN,9.631167,-73.422944,PST,ugm3,24,2011,84.1,8421.64,90,74.0,0,0.0,93.3,169.1,175.7,24/02/2011,22.4,24/06/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.422944 9.631167)
9051,CORPOCESAR,EL HATILLO,9.64875,-73.570028,PST,ugm3,24,2011,87.0,10501.35,103,84.0,0,0.0,96.4,227.1,279.9,3/02/2011,22.3,30/11/2011,0,20,CESAR,20250.0,EL PASO,Fija,POINT (-73.570028 9.64875)
9053,CORPOCESAR,ESTACIÓN CHIRIGUANÁ,9.363639,-73.607083,PLiquida,mm,24,2011,6.1,2122.0,348,95.0,0,0.0,0.0,66.1,90.0,19/11/2011,0.0,19/05/2011 - continúa...,0,20,CESAR,20178.0,CHIRIGUANÁ,Fija,POINT (-73.607083 9.363639)
9043,CORPOCESAR,LA AURORA,9.466028,-73.550833,PST,ugm3,24,2011,43.6,5821.68,102,84.0,0,0.0,39.1,167.9,189.4,17/03/2011,8.5,13/10/2011,0,20,CESAR,20178.0,CHIRIGUANÁ,Fija,POINT (-73.550833 9.466028)
9042,CORPOCESAR,LA JAGUA CENTRO,9.559417,-73.329667,DViento,deg,24,2011,199.4,37289.73,187,51.0,0,0.0,206.1,267.0,275.2,31/10/2011,22.5,03/01/2011 - 01/03/2011 - 11/05/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.329667 9.559417)
9042,CORPOCESAR,LA JAGUA CENTRO,9.559417,-73.329667,PLiquida,mm,24,2011,8.2,1748.14,213,58.0,0,0.0,0.5,50.4,90.4,28/05/2011,0.0,03/01/2011 - 05/02/2011 - 18/02/2011 - 19/02/2011 - 21/02/2011 - 22/02/2011 - 25/02/2011 - 26/02/2011 - 28/02/2011 - 01/03/2011 - 05/03/2011 - 05/04/2011 - 06/04/2011 - 07/04/2011 - 08/04/2011 - 14/04/2011 - 15/04/2011 - 17/04/2011 - 18/04/2011 - 20/04/2011 - 21/04/2011 - 30/04/2011 - 02/05/2011 - 03/05/2011 - 04/05/2011 - 05/05/2011 - 06/05/2011 - 07/05/2011 - 08/05/2011 - 09/05/2011 - 13/05/2011 - 14/05/2011 - 15/05/2011 - 16/05/2011 - 18/05/2011 - 21/05/2011 - 25/05/2011 - 04/06/2011 - 05/06/2011 - 13/06/2011 - 14/06/2011 - 22/06/2011 - 28/06/2011 - 29/06/2011 - 01/07/2011 - 04/07/2011 - 05/07/2011 - 02/08/2011 - 03/08/2011 - 04/08/2011 - 05/08/2011 - 11/08/2011 - 13/08/2011 - 14/08/2011 - 30/08/2011 - 04/09/2011 - 05/09/2011 - 06/09/2011 - 22/09/2011 - 23/09/2011 - 29/09/2011 - 13/10/2011 - 22/10/2011 - 23/10/2011 - 27/10/2011 - 29/10/2011 - 31/10/2011 - 01/11/2011 - 02/11/2011 - 07/11/2011 - 15/11/2011 - 22/11/2011 - 24/11/2011 - 26/11/2011 - 03/12/2011 - 04/12/2011 - 09/12/2011 - 12/12/2011 - 17/12/2011 - 18/12/2011 - 19/12/2011 - 20/12/2011 - 21/12/2011 - 22/12/2011 - 23/12/2011 - 24/12/2011 - 25/12/2011 - 26/12/2011 - 27/12/2011 - 28/12/2011 - 29/12/2011 - 30/12/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.329667 9.559417)
9042,CORPOCESAR,LA JAGUA CENTRO,9.559417,-73.329667,P,mmHg,24,2011,756.0,161023.11,213,58.0,0,0.0,755.9,757.8,758.8,20/10/2011,753.7,13/06/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.329667 9.559417)
9042,CORPOCESAR,LA JAGUA CENTRO,9.559417,-73.329667,PST,ugm3,24,2011,69.3,8887.6,112,92.0,0,0.0,71.5,184.4,260.2,3/02/2011,19.4,22/05/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.329667 9.559417)
9042,CORPOCESAR,LA JAGUA CENTRO,9.559417,-73.329667,RGlobal,Wm2,24,2011,199.7,29554.72,148,41.0,0,0.0,203.4,279.9,347.5,13/06/2011,59.9,30/10/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.329667 9.559417)
9042,CORPOCESAR,LA JAGUA CENTRO,9.559417,-73.329667,TAire2,Celsius,24,2011,27.1,5775.3,213,58.0,0,0.0,26.8,30.7,32.6,13/06/2011,22.7,18/10/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.329667 9.559417)
9042,CORPOCESAR,LA JAGUA CENTRO,9.559417,-73.329667,VViento,ms,24,2011,1.0,194.45,187,51.0,0,0.0,1.0,1.8,2.4,20/05/2011,0.4,03/01/2011 - 01/03/2011 - 16/05/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.329667 9.559417)
9048,CORPOCESAR,LA JAGUA VÍA,9.565528,-73.332639,PST,ugm3,24,2011,138.0,15345.32,105,86.0,0,0.0,143.9,268.4,286.9,25/01/2011,50.1,10/10/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.332639 9.565528)
9027,CORPOCESAR,LA LOMA 2,9.614,-73.589389,PST,ugm3,24,2011,75.5,8184.18,90,74.0,0,0.0,84.9,238.2,298.3,17/03/2011,17.7,12/11/2011,0,20,CESAR,20250.0,EL PASO,Fija,POINT (-73.589389 9.614)
9026,CORPOCESAR,LA LOMA CENTRO,9.614167,-73.604444,PST,ugm3,24,2011,89.3,9773.59,92,75.0,1,1.09,95.9,246.1,317.6,12/02/2011,17.2,12/11/2011,1,20,CESAR,20250.0,EL PASO,Fija,POINT (-73.604444 9.614167)
9050,CORPOCESAR,RINCÓN HONDO,9.393972,-73.490083,PST,ugm3,24,2011,46.6,5535.29,100,82.0,0,0.0,48.6,133.7,218.6,3/02/2011,15.5,30/07/2011,0,20,CESAR,20178.0,CHIRIGUANÁ,Fija,POINT (-73.490083 9.393972)
9047,CORPOCESAR,ZM07 PLAN BONITO,9.640611,-73.497889,PST,ugm3,24,2011,148.3,18913.88,113,93.0,8,7.08,162.4,346.8,463.4,8/08/2011,41.9,16/10/2011,8,20,CESAR,20250.0,EL PASO,Fija,POINT (-73.497889 9.640611)
9052,CORPOCESAR,ZM14 ESTADOS UNIDOS,9.626389,-73.209694,PST,ugm3,24,2011,35.5,2622.28,67,55.0,0,0.0,37.4,75.4,87.7,28/01/2011,9.6,15/02/2011,0,20,CESAR,20045.0,BECERRIL,Fija,POINT (-73.209694 9.626389)
9049,CORPOCESAR,ZM11 MINGUILLO,9.940778,-73.500592,PM2.5,ugm3,24,2011,12.1,60.43,5,4.0,0,0.0,12.5,13.7,13.8,25/09/2011,9.8,28/09/2011,0,20,CESAR,20621.0,LA PAZ,Fija,POINT (-73.500592 9.940778)
9042,CORPOCESAR,LA JAGUA CENTRO,9.559417,-73.329667,PM2.5,ugm3,24,2011,12.8,1463.34,114,93.0,0,0.0,12.1,25.5,29.2,14/03/2011,3.5,3/06/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.329667 9.559417)
9052,CORPOCESAR,ZM14 ESTADOS UNIDOS,9.626389,-73.209694,PM10,ugm3,24,2011,14.9,567.61,38,31.0,0,0.0,12.5,38.0,39.5,14/08/2011,2.0,3/12/2011,0,20,CESAR,20045.0,BECERRIL,Fija,POINT (-73.209694 9.626389)
9053,CORPOCESAR,ESTACIÓN CHIRIGUANÁ,9.363639,-73.607083,PM10,ugm3,24,2011,24.7,8359.43,338,93.0,0,0.0,22.0,51.6,64.9,28/12/2011,6.0,13/07/2011,0,20,CESAR,20178.0,CHIRIGUANÁ,Fija,POINT (-73.607083 9.363639)
9050,CORPOCESAR,RINCÓN HONDO,9.393972,-73.490083,PM10,ugm3,24,2011,25.9,2719.41,105,86.0,0,0.0,23.6,62.4,67.1,3/02/2011,5.3,20/08/2011,0,20,CESAR,20178.0,CHIRIGUANÁ,Fija,POINT (-73.490083 9.393972)
9027,CORPOCESAR,LA LOMA 2,9.614,-73.589389,PM10,ugm3,24,2011,26.4,2662.06,101,83.0,0,0.0,23.0,54.3,67.9,17/03/2011,8.6,15/07/2011 - 13/10/2011,0,20,CESAR,20250.0,EL PASO,Fija,POINT (-73.589389 9.614)
9041,CORPOCESAR,LA PALMITA,9.504139,-73.405389,PM10,ugm3,24,2011,27.0,2646.58,98,80.0,0,0.0,23.1,61.0,82.2,3/02/2011,9.2,30/07/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.405389 9.504139)
9043,CORPOCESAR,LA AURORA,9.466028,-73.550833,PM10,ugm3,24,2011,27.2,3177.99,117,96.0,0,0.0,22.9,66.8,77.8,19/01/2011,3.4,25/09/2011,0,20,CESAR,20178.0,CHIRIGUANÁ,Fija,POINT (-73.550833 9.466028)
30003,CORPOCESAR,BOMBEROS,10.468622,-73.257642,PM10,ugm3,24,2011,28.0,3382.62,121,99.0,0,0.0,26.5,54.5,66.2,7/04/2011,10.4,27/11/2011,0,20,CESAR,20001.0,VALLEDUPAR,Fija,POINT (-73.257642 10.468622)
9056,CORPOCESAR,ESTACIÓN BECERRIL,9.702167,-73.279222,PM10,ugm3,24,2011,30.2,3226.18,107,88.0,0,0.0,29.3,72.4,75.3,16/01/2011,3.0,3/12/2011,0,20,CESAR,20045.0,BECERRIL,Fija,POINT (-73.279222 9.702167)
9026,CORPOCESAR,LA LOMA CENTRO,9.614167,-73.604444,PM10,ugm3,24,2011,32.8,3144.42,96,79.0,0,0.0,30.5,66.8,81.5,31/01/2011,9.2,12/11/2011,0,20,CESAR,20250.0,EL PASO,Fija,POINT (-73.604444 9.614167)
9054,CORPOCESAR,ZM17 EL PRADO,9.671139,-73.460806,PM10,ugm3,24,2011,37.3,1194.33,32,26.0,0,0.0,35.1,66.9,86.5,7/04/2011,13.2,24/06/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.460806 9.671139)
9042,CORPOCESAR,LA JAGUA CENTRO,9.559417,-73.329667,PM10,ugm3,24,2011,38.6,4401.97,114,93.0,1,0.88,35.1,87.2,101.7,3/02/2011,8.4,10/10/2011,1,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.329667 9.559417)
9044,CORPOCESAR,BOQUERÓN,9.631167,-73.422944,PM10,ugm3,24,2011,40.5,3850.43,95,78.0,3,3.16,39.0,102.4,113.9,16/01/2011,8.8,1/01/2011,3,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.422944 9.631167)
9051,CORPOCESAR,EL HATILLO,9.64875,-73.570028,PM10,ugm3,24,2011,41.3,4335.4,105,86.0,3,2.86,36.0,105.6,137.5,3/02/2011,11.0,30/11/2011,3,20,CESAR,20250.0,EL PASO,Fija,POINT (-73.570028 9.64875)
9042,CORPOCESAR,LA JAGUA CENTRO,9.559417,-73.329667,HAire2,perc,24,2011,81.2,17300.22,213,58.0,0,0.0,84.4,93.5,96.0,1/07/2011,57.6,21/02/2011,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.329667 9.559417)
9047,CORPOCESAR,ZM07 PLAN BONITO,9.640611,-73.497889,PM10,ugm3,24,2011,58.4,6720.17,115,94.0,15,13.04,50.8,139.1,151.0,31/01/2011,16.4,16/10/2011,15,20,CESAR,20250.0,EL PASO,Fija,POINT (-73.497889 9.640611)
9048,CORPOCESAR,LA JAGUA VÍA,9.565528,-73.332639,PM10,ugm3,24,2011,65.9,6918.09,105,86.0,8,7.62,64.0,121.6,149.5,31/01/2011,24.2,10/10/2011,8,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.332639 9.565528)
9055,CORPOCESAR,ZM18 MÓVIL 1 NORCARBÓN,9.5565,-73.275889,PM10,ugm3,24,2011,84.5,2619.57,31,25.0,7,22.58,77.4,173.1,174.3,25/01/2011,24.1,22/04/2011,7,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.275889 9.5565)
9044,CORPOCESAR,BOQUERÓN,9.631167,-73.422944,PST,ugm3,24,2012,86.8,5507.84,59,48.0,0,0.0,90.7,163.4,181.7,17/03/2012,32.5,18/11/2012,0,20,CESAR,20400.0,LA JAGUA DE IBIRICO,Fija,POINT (-73.422944 9.631167)
9051,CORPOCESAR,EL HATILLO,9.64875,-73.570028,PST,ugm3,24,2012,97.8,11712.42,101,83.0,0,0.0,110.5,254.9,282.1,13/02/2012,15.0,18/11/2012,0,20,CESAR,20250.0,EL PASO,Fija,POINT (-73.570028 9.64875)
